state,max_duration,outages_count,avg_customers_affected,Causes,gird_region
Alabama,,,,"", 
Alaska,,,,"",WECC
Arizona,,,,"",WECC
Arkansas,,,,"",WECC
California,15180.0,22,265809.85714285716,"['system operability disruption', 'equipment failure', 'severe weather']",WECC
Colorado,,,,"",WECC
Connecticut,2640.0,2,54200.0,"['severe weather', 'severe weather']",NPCC
Delaware,,,,"",RFC
District of Columbia,,,,"",RFC
Florida,5820.0,8,182069.125,"['equipment failure', 'severe weather', 'system operability disruption']",FRCC
Georgia,1950.0,1,80539.0,['severe weather'],SERC
Hawaii,1367.0,1,294000.0,['severe weather'],HECO
Idaho,,,,"",WECC
Illinois,3000.0,4,263000.0,"['severe weather', 'severe weather', 'severe weather']",RFC
Indiana,7319.0,9,38585.71428571428,"['islanding', 'severe weather', 'islanding']",RFC
Iowa,8670.0,1,21000.0,['severe weather'],RFC
Kansas,,,,"",SPP
Kentucky,23760.0,4,117250.0,"['severe weather', 'severe weather', 'fuel supply emergency']",RFC
Louisiana,20416.0,5,148697.33333333334,"['system operability disruption', 'severe weather', 'severe weather']",SERC
Maine,3667.0,3,110073.0,"['severe weather', 'severe weather', 'severe weather']",NPCC
Maryland,4470.0,2,178704.0,"['severe weather', 'severe weather']",RFC
Massachusetts,,,,"",NPCC
Michigan,11850.0,9,181326.88888888888,"['severe weather', 'severe weather', 'severe weather']",RFC
Minnesota,,,,"",MRO
Mississippi,,,,"",SERC
Missouri,870.0,1,53000.0,['severe weather'],RFC
Montana,,,,"",WECC
Nebraska,60.0,1,126000.0,['severe weather'],MRO
Nevada,,,,"",WECC
New Hampshire,,,,"",NPCC
New Jersey,6090.0,4,154045.75,"['severe weather', 'severe weather', 'system operability disruption']",RFC
New Mexico,,,,"",WECC
New York,10726.0,5,86663.2,"['severe weather', 'severe weather', 'severe weather']",NPCC
North Carolina,1318.0,2,53859.0,"['severe weather', 'severe weather']",SERC
North Dakota,,,,"",MRO
Ohio,11531.0,5,201178.4,"['severe weather', 'severe weather', 'severe weather']",RFC
Oklahoma,,,,"",SPP
Oregon,200.0,1,3.0,['equipment failure'],WECC
Pennsylvania,6938.0,5,151384.0,"['severe weather', 'severe weather', 'severe weather']",RFC
Rhode Island,,,,"",NPCC
South Carolina,,,,"",SERC
South Dakota,,,,"",MRO
Tennessee,840.0,1,57000.0,['severe weather'],SERC
Texas,21540.0,6,226301.66666666666,"['severe weather', 'severe weather', 'severe weather']",TRE
Utah,871.0,1,74031.0,['system operability disruption'],WECC
Vermont,,,,"",NPCC
Virginia,1826.0,3,161139.33333333334,"['severe weather', 'severe weather', 'severe weather']",SERC
Washington,248.0,1,8000.0,['public appeal'],WECC
West Virginia,,,,"",RFC
Wisconsin,,,,"",MRO
Wyoming,,,,"",WECC
